bertopic_topic_label,crime_law,economy,education,environment,healthcare,immigration,other,politics,religion,social_issues,sports,technology,terrorism_security
General Banter / Agreement Replies,1.1333333333333333,1.0,1.0,1.6,1.0,1.0,1.0,1.1029411764705883,1.0,1.0,1.0,1.0588235294117647,1.0
Harper vs Trudeau Election Talk,1.375,1.7,1.0,1.6666666666666667,,,,1.2535211267605635,1.5,,,1.0,2.0
Harper-era Conservatism & Government,,1.6666666666666667,,,,,1.0,1.0,1.0,,,,
"Healthcare System: Doctors, Hospitals & Patients",1.0,2.0,1.4,2.0,1.1111111111111112,1.0,,1.0,,,,1.0,1.0
Immigration Policy & Legal Process,,,,,,1.1,,1.2,1.0,,,,1.0
Insults / Ad Hominem Flame Replies,2.0,,,,1.0,,,2.1818181818181817,,2.0,,,
Israel–Palestine / Middle East Politics,1.5,,1.0,,,1.5,,1.565217391304348,1.625,1.0,,2.0,1.4166666666666667
Justin Trudeau & Canadian Federal Leadership,,1.0,,1.0,,,,1.0769230769230769,,,,2.0,
Marijuana/Drugs/Alcohol Legalization Debate,1.25,1.5,2.0,,1.0,,,1.0909090909090908,,1.0,,2.0,
Media & Journalism (Globe and Mail Commentary),1.2222222222222223,1.1111111111111112,1.3333333333333333,1.125,1.5714285714285714,1.0,,1.3142857142857143,2.0,,1.0,1.3333333333333333,1.5
"Oil, Pipelines & Alberta Energy Industry",,1.0666666666666667,,1.1428571428571428,,,,1.0666666666666667,,,,1.0,
Outlier/Unassigned,1.3160377358490567,1.2101910828025477,1.2578616352201257,1.256,1.1830065359477124,1.2872340425531914,1.7142857142857142,1.2855855855855856,1.320754716981132,1.3125,1.2142857142857142,1.2214285714285715,1.2142857142857142
"Parenting, Class & Family Life",1.0,1.0,1.8,,1.0,1.0,,1.0,2.0,1.0,,1.2,1.0
Partisan Competence / Messaging (Liberal vs Conservative),,1.0,,,,,,1.1333333333333333,,,,,
Personal Encouragement / Health / Small Talk,,1.25,2.0,1.0,,1.0,,1.5833333333333333,1.0,1.0,,1.0,
"Police, Guns & Crime",1.2,,1.4,,1.5,1.5,,1.0,2.0,1.25,1.0,1.0,1.0
Political Ideology Spectrum & Media Bias,,1.0,2.0,,,,,1.4285714285714286,1.0,,,1.0,1.0
Political Scandal & Corruption (Senate/PMO),1.1428571428571428,1.2222222222222223,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,1.2380952380952381,,,1.0,1.25,
Praise/Feedback on Posts and Columns,1.25,1.0,1.0,1.0,1.0,1.0,,1.3125,1.0,1.0,1.0,1.0,
Quoted Conversation / Anecdotes (Name-Heavy Thread),,1.0,1.0,1.0,1.0,,,1.1111111111111112,1.0,1.0,,,1.0
Race & Racism Discourse (White/Black),2.0,,2.0,,3.0,1.5,,1.7333333333333334,1.0,2.0,2.0,3.0,2.0
"Racism, Law & Policy Framing",1.3333333333333333,1.0,1.5,,,,,1.5,,2.0,1.25,,2.0
Refugees & Immigration System,2.0,1.0,,,,1.1875,,1.125,,,,,
Religion (Islam/Christianity) & Church Issues,1.5,1.0,1.25,1.0,1.3333333333333333,1.3333333333333333,,1.8571428571428572,1.675,1.5,,2.0,1.8
Russia–Ukraine / NATO / Geopolitics,1.5,1.4,,,1.0,1.0,,1.4375,1.0,2.0,1.0,1.5,1.1666666666666667
"Taxes, Pensions & Public Finances",1.0,1.1649484536082475,1.1764705882352942,1.1818181818181819,1.0769230769230769,1.0,,1.1475409836065573,,1.3333333333333333,1.0,1.125,
Toronto Politics (Rob Ford / Mayor Drama),1.2,1.6,,1.0,2.0,,1.0,1.4375,2.0,4.0,,1.5,
US Politics (Trump/Clinton/Obama),1.0,2.0,1.0,,,1.0,,1.5777777777777777,,,,1.5,1.8
"Vaccines, Vaccination & Disease Risk",1.0,,,,1.2222222222222223,,,1.6666666666666667,,2.0,,1.0,
"Voting, Elections, Polls & Referendums",1.4,1.25,,1.0,,1.0,,1.078125,1.0,,,1.0,1.0
"War, Terrorism & Security (Syria/ISIS)",1.0,1.0,1.0,,1.0,,,1.380952380952381,1.3333333333333333,1.0,,1.0,1.125
