topic_1,topic_2,mean_topic_1,mean_topic_2,mean_difference,u_statistic,p_value,p_value_adjusted,significant,cohens_d,effect_size
Climate Change & CO2 Debate,US Politics (Trump/Clinton/Obama),1.1111111111111112,1.5666666666666667,-0.4555555555555555,1615.5,6.581678484749915e-06,0.007114794442014658,True,-0.8415380781103973,Large
"Oil, Pipelines & Alberta Energy Industry",US Politics (Trump/Clinton/Obama),1.0952380952380953,1.5666666666666667,-0.4714285714285713,1216.0,6.97034023707739e-06,0.007534937796280659,True,-0.8182790533181354,Large
"Healthcare System: Doctors, Hospitals & Patients",Insults / Ad Hominem Flame Replies,1.196969696969697,2.066666666666667,-0.8696969696969699,203.0,6.981281604016681e-06,0.007546765413942032,True,-1.5989202645656417,Large
"Voting, Elections, Polls & Referendums","Gender, Feminism & Relationships",1.1046511627906976,1.4464285714285714,-0.34177740863787376,1623.5,7.864919069555464e-06,0.008501977514189457,True,-0.8272405497538842,Large
"Healthcare System: Doctors, Hospitals & Patients",Religion (Islam/Christianity) & Church Issues,1.196969696969697,1.5858585858585859,-0.38888888888888884,2140.5,1.1234423895249058e-05,0.012144412230764231,True,-0.6989521622808572,Medium
Political Scandal & Corruption (Senate/PMO),Insults / Ad Hominem Flame Replies,1.2222222222222223,2.066666666666667,-0.8444444444444446,231.0,1.2092979288172723e-05,0.013072510610514714,True,-1.4879263973479886,Large
Canadian Party Politics & Electoral Reform,Insults / Ad Hominem Flame Replies,1.0769230769230769,2.066666666666667,-0.98974358974359,63.0,1.390293578047675e-05,0.015029073578695366,True,-1.7290131163008249,Large
"Oil, Pipelines & Alberta Energy Industry","Gender, Feminism & Relationships",1.0952380952380953,1.4464285714285714,-0.35119047619047605,1157.5,1.5060756251428245e-05,0.016280677507793932,True,-0.7875125189782176,Medium
Race & Racism Discourse (White/Black),"War, Terrorism & Security (Syria/ISIS)",1.896551724137931,1.2448979591836735,0.6516537649542575,1075.0,1.5151340989158441e-05,0.016378599609280276,True,1.1656921054946152,Large
Race & Racism Discourse (White/Black),Columnist/Political Culture Commentary (Coyne etc.),1.896551724137931,1.0555555555555556,0.8409961685823755,437.5,1.5315582892645756e-05,0.01655614510695006,True,1.4268024181167085,Large
Religion (Islam/Christianity) & Church Issues,Evidence vs Truth Debate (Kingwell Thread),1.5858585858585859,1.04,0.5458585858585858,1840.5,1.5566509152826155e-05,0.016827396394205073,True,0.9656906317596408,Large
Race & Racism Discourse (White/Black),Debate About Terms / Argumentation Style,1.896551724137931,1.3,0.596551724137931,1497.5,1.603881429619757e-05,0.017337958254189573,True,0.9608558584421651,Large
Justin Trudeau & Canadian Federal Leadership,Insults / Ad Hominem Flame Replies,1.103448275862069,2.066666666666667,-0.9632183908045979,74.5,1.661103326825901e-05,0.017956526962987992,True,-1.69127105441751,Large
Israel–Palestine / Middle East Politics,"Cities, Transit & Urban Development",1.5185185185185186,1.1290322580645162,0.38948626045400236,2282.0,1.7959746292419476e-05,0.019414485742105452,True,0.7796673716795123,Medium
Israel–Palestine / Middle East Politics,Canada Identity / Provinces / General National Talk,1.5185185185185186,1.2222222222222223,0.2962962962962963,2616.0,1.8779414766088578e-05,0.020300547362141753,True,0.44119489012994256,Small
Climate Change & CO2 Debate,"Gender, Feminism & Relationships",1.1111111111111112,1.4464285714285714,-0.33531746031746024,1543.5,1.9109858757450943e-05,0.02065775731680447,True,-0.7979513853686867,Medium
Political Scandal & Corruption (Senate/PMO),Religion (Islam/Christianity) & Church Issues,1.2222222222222223,1.5858585858585859,-0.36363636363636354,2401.0,2.004994409930753e-05,0.021673989571351443,True,-0.6405504107425539,Medium
Race & Racism Discourse (White/Black),Harper vs Trudeau Election Talk,1.896551724137931,1.34,0.556551724137931,2092.5,2.1967446908616208e-05,0.023746810108214122,True,0.8771441294512899,Large
Race & Racism Discourse (White/Black),Energy Tech (Solar/Wind/Nuclear/Power),1.896551724137931,1.2121212121212122,0.6844305120167189,742.5,2.2805471397902598e-05,0.024652714581132707,True,1.0775915524389574,Large
Race & Racism Discourse (White/Black),"Animals, Food, Meat Ethics & Environment",1.896551724137931,1.3,0.596551724137931,1288.0,2.5700366846888043e-05,0.027782096561485975,True,0.9643908545414468,Large
"Parenting, Class & Family Life",Insults / Ad Hominem Flame Replies,1.1714285714285715,2.066666666666667,-0.8952380952380954,102.0,2.669198155262181e-05,0.028854032058384178,True,-1.3902108692954873,Large
Race & Racism Discourse (White/Black),Harper-era Conservatism & Government,1.896551724137931,1.1818181818181819,0.7147335423197492,513.0,3.489826329734442e-05,0.03772502262442932,True,1.0220619168386724,Large
Media & Journalism (Globe and Mail Commentary),Insults / Ad Hominem Flame Replies,1.305263157894737,2.066666666666667,-0.76140350877193,342.0,4.4907172324755054e-05,0.048544653283060214,True,-1.107129248026329,Large
"Cities, Transit & Urban Development",Fascism/Nazism/Confederate Symbols,1.1290322580645162,1.5625,-0.43346774193548376,609.0,4.4971373450397864e-05,0.04861405469988009,True,-0.9106956694679528,Large
Canadian Party Politics & Electoral Reform,Religion (Islam/Christianity) & Church Issues,1.0769230769230769,1.5858585858585859,-0.508935508935509,705.0,4.769114920317247e-05,0.05155413228862944,False,-0.8939475515617624,Large
Israel–Palestine / Middle East Politics,"Education: Teachers, Schools & Kids",1.5185185185185186,1.1910112359550562,0.3275072825634624,3163.5,5.008646938966792e-05,0.05414347341023103,False,0.6056214586954974,Medium
Israel–Palestine / Middle East Politics,"Police, Guns & Crime",1.5185185185185186,1.2136752136752136,0.304843304843305,4099.5,5.178304105742292e-05,0.05597746738307417,False,0.554167873838345,Medium
Race & Racism Discourse (White/Black),Refugees & Immigration System,1.896551724137931,1.1923076923076923,0.7042440318302388,590.0,5.5363906835799064e-05,0.05984838328949879,False,1.1261109653080883,Large
Canada Identity / Provinces / General National Talk,Fascism/Nazism/Confederate Symbols,1.2222222222222223,1.5625,-0.3402777777777777,732.0,5.771847062654339e-05,0.06239366674729341,False,-0.4943934492174303,Small
Religion (Islam/Christianity) & Church Issues,Justin Trudeau & Canadian Federal Leadership,1.5858585858585859,1.103448275862069,0.4824103099965169,2048.5,6.002767978467249e-05,0.06488992184723096,False,0.848695821595199,Large
"Cities, Transit & Urban Development",US Politics (Trump/Clinton/Obama),1.1290322580645162,1.5666666666666667,-0.4376344086021504,1252.0,6.166440518230813e-05,0.06665922200207508,False,-0.7423837498205028,Medium
"Taxes, Pensions & Public Finances",Toronto Politics (Rob Ford / Mayor Drama),1.1466666666666667,1.5151515151515151,-0.3684848484848484,2695.5,6.298302070453369e-05,0.06808464538160092,False,-0.7714791269669894,Medium
Race & Racism Discourse (White/Black),Marijuana/Drugs/Alcohol Legalization Debate,1.896551724137931,1.1923076923076923,0.7042440318302388,587.5,6.76753098670987e-05,0.07315700996633369,False,1.1847154616215652,Large
Religion (Islam/Christianity) & Church Issues,Media & Journalism (Globe and Mail Commentary),1.5858585858585859,1.305263157894737,0.28059542796384895,6026.0,6.891747275137933e-05,0.07449978804424107,False,0.4397622012514547,Small
Columnist/Political Culture Commentary (Coyne etc.),Insults / Ad Hominem Flame Replies,1.0555555555555556,2.066666666666667,-1.0111111111111113,41.5,8.114983188143687e-05,0.08772296826383326,False,-1.6334736453608147,Large
Canada Identity / Provinces / General National Talk,US Politics (Trump/Clinton/Obama),1.2222222222222223,1.5666666666666667,-0.34444444444444433,1500.0,8.171553685589847e-05,0.08833449534122624,False,-0.472179966573953,Small
Race & Racism Discourse (White/Black),"Consumer Prices, Markets & Groceries",1.896551724137931,1.1176470588235294,0.7789046653144016,402.5,8.192129313824196e-05,0.08855691788243955,False,1.2027105947826302,Large
Israel–Palestine / Middle East Politics,Praise/Feedback on Posts and Columns,1.5185185185185186,1.15,0.3685185185185187,1495.0,8.254952037775126e-05,0.08923603152834912,False,0.619252568144194,Medium
"Parenting, Class & Family Life",Religion (Islam/Christianity) & Church Issues,1.1714285714285715,1.5858585858585859,-0.41443001443001437,1061.5,9.175332852667003e-05,0.0991853481373303,False,-0.6945890124054732,Medium
Race & Racism Discourse (White/Black),Immigration Policy & Legal Process,1.896551724137931,1.1176470588235294,0.7789046653144016,400.0,0.00010376371543524154,0.11216857638549611,False,1.2737087490708314,Large
Energy Tech (Solar/Wind/Nuclear/Power),Insults / Ad Hominem Flame Replies,1.2121212121212122,2.066666666666667,-0.8545454545454547,103.5,0.00012714243997934466,0.13744097761767157,False,-1.2816915387134105,Large
"War, Terrorism & Security (Syria/ISIS)",Insults / Ad Hominem Flame Replies,1.2448979591836735,2.066666666666667,-0.8217687074829934,164.0,0.00013589096196064078,0.1468981298794527,False,-1.447070007197656,Large
Israel–Palestine / Middle East Politics,Evidence vs Truth Debate (Kingwell Thread),1.5185185185185186,1.04,0.47851851851851857,973.5,0.00013823802658959072,0.14943530674334757,False,0.9287266934136998,Large
"Cities, Transit & Urban Development","Gender, Feminism & Relationships",1.1290322580645162,1.4464285714285714,-0.31739631336405516,1196.5,0.00014482695146939643,0.15655793453841754,False,-0.6863466326164628,Medium
Praise/Feedback on Posts and Columns,Fascism/Nazism/Confederate Symbols,1.15,1.5625,-0.4125000000000001,382.0,0.00014930614560254224,0.16139994339634817,False,-0.6905899032091437,Medium
"Police, Guns & Crime",US Politics (Trump/Clinton/Obama),1.2136752136752136,1.5666666666666667,-0.35299145299145307,2572.5,0.0001501821270005174,0.1623468792875593,False,-0.5819277957348725,Medium
"Education: Teachers, Schools & Kids",Fascism/Nazism/Confederate Symbols,1.1910112359550562,1.5625,-0.3714887640449438,939.0,0.00015131168950519743,0.16356793635511843,False,-0.6988273240322865,Medium
"Education: Teachers, Schools & Kids",US Politics (Trump/Clinton/Obama),1.1910112359550562,1.5666666666666667,-0.37565543071161045,1912.5,0.00015404861141998157,0.16652654894500007,False,-0.6170286202240576,Medium
Canada Identity / Provinces / General National Talk,"Gender, Feminism & Relationships",1.2222222222222223,1.4464285714285714,-0.22420634920634908,1422.0,0.00015679356862475515,0.16949384768336032,False,-0.34805661912577235,Small
Debate About Terms / Argumentation Style,Insults / Ad Hominem Flame Replies,1.3,2.066666666666667,-0.7666666666666668,253.5,0.00016018084375481767,0.1731554920989579,False,-1.2043720596822962,Large
Race & Racism Discourse (White/Black),Partisan Competence / Messaging (Liberal vs Conservative),1.896551724137931,1.125,0.771551724137931,375.0,0.0001706093870976785,0.18442874745259044,False,1.2478228150831632,Large
Harper-era Conservatism & Government,Insults / Ad Hominem Flame Replies,1.1818181818181819,2.066666666666667,-0.884848484848485,62.0,0.00018031820219369487,0.19492397657138416,False,-1.1645606411756033,Large
"Police, Guns & Crime",Fascism/Nazism/Confederate Symbols,1.2136752136752136,1.5625,-0.3488247863247864,1269.0,0.0001867606545808563,0.20188826760190565,False,-0.6409971653536333,Medium
"Voting, Elections, Polls & Referendums",Toronto Politics (Rob Ford / Mayor Drama),1.1046511627906976,1.5151515151515151,-0.4105003523608175,995.0,0.00019188856754455522,0.2074315415156642,False,-0.8658126684576721,Large
"Oil, Pipelines & Alberta Energy Industry",Toronto Politics (Rob Ford / Mayor Drama),1.0952380952380953,1.5151515151515151,-0.4199134199134198,711.0,0.00019273063121433287,0.20834181234269383,False,-0.8035304228425233,Large
Evidence vs Truth Debate (Kingwell Thread),Fascism/Nazism/Confederate Symbols,1.04,1.5625,-0.5225,215.0,0.00019963243597490284,0.21580266328886996,False,-1.0816075322939813,Large
"Animals, Food, Meat Ethics & Environment",Insults / Ad Hominem Flame Replies,1.3,2.066666666666667,-0.7666666666666668,215.0,0.0002338826459320498,0.2528271402525458,False,-1.205346129832124,Large
Harper vs Trudeau Election Talk,Insults / Ad Hominem Flame Replies,1.34,2.066666666666667,-0.7266666666666668,383.5,0.00024349617351273665,0.2632193635672683,False,-1.1222961900298645,Large
Refugees & Immigration System,Insults / Ad Hominem Flame Replies,1.1923076923076923,2.066666666666667,-0.8743589743589746,79.0,0.00025318316485669414,0.2736910012100864,False,-1.3254342488514486,Large
Praise/Feedback on Posts and Columns,US Politics (Trump/Clinton/Obama),1.15,1.5666666666666667,-0.41666666666666674,788.0,0.0002760627293462102,0.2984238104232532,False,-0.6092717958449425,Medium
Religion (Islam/Christianity) & Church Issues,Columnist/Political Culture Commentary (Coyne etc.),1.5858585858585859,1.0555555555555556,0.5303030303030303,1312.0,0.0002873417997741632,0.31061648555587046,False,0.9110404477632553,Large
"Consumer Prices, Markets & Groceries",Insults / Ad Hominem Flame Replies,1.1176470588235294,2.066666666666667,-0.9490196078431374,44.5,0.00030439148298381467,0.3290471931055037,False,-1.3558327249526798,Large
Marijuana/Drugs/Alcohol Legalization Debate,Insults / Ad Hominem Flame Replies,1.1923076923076923,2.066666666666667,-0.8743589743589746,79.5,0.00032021723772891704,0.34615483398495933,False,-1.411188866204183,Large
Climate Change & CO2 Debate,Toronto Politics (Rob Ford / Mayor Drama),1.1111111111111112,1.5151515151515151,-0.404040404040404,945.0,0.00036500634915622365,0.39457186343787776,False,-0.8347027263052335,Large
Praise/Feedback on Posts and Columns,"Gender, Feminism & Relationships",1.15,1.4464285714285714,-0.2964285714285715,747.0,0.0004072296510418179,0.44021525277620516,False,-0.534244529788559,Medium
Immigration Policy & Legal Process,Insults / Ad Hominem Flame Replies,1.1176470588235294,2.066666666666667,-0.9490196078431374,45.0,0.00041137438593674474,0.4446957111976211,False,-1.4587050313271497,Large
Israel–Palestine / Middle East Politics,Canadian Party Politics & Electoral Reform,1.5185185185185186,1.0769230769230769,0.44159544159544173,987.0,0.0004222175631417539,0.45641718575623597,False,0.8445017033862595,Large
Evidence vs Truth Debate (Kingwell Thread),US Politics (Trump/Clinton/Obama),1.04,1.5666666666666667,-0.5266666666666666,451.5,0.00044147327823501457,0.47723261377205073,False,-0.826614252564762,Large
"Education: Teachers, Schools & Kids","Gender, Feminism & Relationships",1.1910112359550562,1.4464285714285714,-0.2554173354735152,1833.5,0.00047191570909928076,0.5101408815363225,False,-0.49816146017001056,Small
"Gender, Feminism & Relationships",Evidence vs Truth Debate (Kingwell Thread),1.4464285714285714,1.04,0.40642857142857136,972.5,0.0005276144348365055,0.5703512040582625,False,0.8813580349726573,Large
"Police, Guns & Crime","Gender, Feminism & Relationships",1.2136752136752136,1.4464285714285714,-0.23275335775335781,2470.5,0.00056606367688136,0.6119148347087502,False,-0.44163050805105875,Small
Religion (Islam/Christianity) & Church Issues,Harper-era Conservatism & Government,1.5858585858585859,1.1818181818181819,0.404040404040404,1539.0,0.0005661402434812753,0.6119976032032586,False,0.6409146075906295,Medium
Religion (Islam/Christianity) & Church Issues,Energy Tech (Solar/Wind/Nuclear/Power),1.5858585858585859,1.2121212121212122,0.3737373737373737,2205.5,0.0005813590751680163,0.6284491602566256,False,0.6180588671091393,Medium
Canadian Party Politics & Electoral Reform,Fascism/Nazism/Confederate Symbols,1.0769230769230769,1.5625,-0.48557692307692313,238.0,0.0005833375385754845,0.6305878792000987,False,-0.9809722800358304,Large
"Healthcare System: Doctors, Hospitals & Patients",Israel–Palestine / Middle East Politics,1.196969696969697,1.5185185185185186,-0.3215488215488216,1254.5,0.0005867751308830602,0.6343039164845882,False,-0.6182306457775116,Medium
Partisan Competence / Messaging (Liberal vs Conservative),Insults / Ad Hominem Flame Replies,1.125,2.066666666666667,-0.9416666666666669,43.0,0.0006154310107612502,0.6652809226329115,False,-1.4239000103929427,Large
Israel–Palestine / Middle East Politics,Justin Trudeau & Canadian Federal Leadership,1.5185185185185186,1.103448275862069,0.41507024265644965,1080.5,0.0006167885545112213,0.6667484274266302,False,0.7933596871525503,Medium
Race & Racism Discourse (White/Black),"Citizenship, Dual Citizenship & Niqab Ceremony",1.896551724137931,1.2608695652173914,0.6356821589205397,500.0,0.000639656336563933,0.6914684998256116,False,1.0278522396194434,Large
Debate About Terms / Argumentation Style,Religion (Islam/Christianity) & Church Issues,1.3,1.5858585858585859,-0.2858585858585858,2546.0,0.0007003193729412538,0.7570452421494953,False,-0.4740704359116095,Small
"Oil, Pipelines & Alberta Energy Industry","Racism, Law & Policy Framing",1.0952380952380953,1.4,-0.30476190476190457,432.0,0.0008470243687315898,0.9156333425988485,False,-0.78435979864152,Medium
Justin Trudeau & Canadian Federal Leadership,Fascism/Nazism/Confederate Symbols,1.103448275862069,1.5625,-0.45905172413793105,277.0,0.0008518074111376334,0.9208038114397816,False,-0.9239267160795892,Large
Religion (Islam/Christianity) & Church Issues,"War, Terrorism & Security (Syria/ISIS)",1.5858585858585859,1.2448979591836735,0.34096062667491234,3135.5,0.0008695675026371205,0.9400024703507273,False,0.6004209702954068,Medium
Insults / Ad Hominem Flame Replies,Fascism/Nazism/Confederate Symbols,2.066666666666667,1.5625,0.5041666666666669,318.0,0.05262406720939551,1.0,False,0.708163615966285,Medium
Insults / Ad Hominem Flame Replies,"Bullying, Civility & Editorial Disputes",2.066666666666667,1.4375,0.6291666666666669,170.0,0.03366520570090589,1.0,False,0.8248907564175098,Large
Insults / Ad Hominem Flame Replies,US Politics (Trump/Clinton/Obama),2.066666666666667,1.5666666666666667,0.5000000000000002,600.0,0.029413717273870352,1.0,False,0.6464819651759129,Medium
Political Ideology Spectrum & Media Bias,"Vaccines, Vaccination & Disease Risk",1.3333333333333333,1.3333333333333333,0.0,152.5,0.8572231714888926,1.0,False,0.0,Negligible
Political Ideology Spectrum & Media Bias,Fascism/Nazism/Confederate Symbols,1.3333333333333333,1.5625,-0.22916666666666674,266.0,0.1455107166897952,1.0,False,-0.3800687400865945,Small
Political Ideology Spectrum & Media Bias,"Bullying, Civility & Editorial Disputes",1.3333333333333333,1.4375,-0.10416666666666674,153.0,0.5876683249978751,1.0,False,-0.17358241268772134,Negligible
Political Ideology Spectrum & Media Bias,US Politics (Trump/Clinton/Obama),1.3333333333333333,1.5666666666666667,-0.2333333333333334,528.5,0.20943184870669207,1.0,False,-0.33040165954060463,Small
Political Ideology Spectrum & Media Bias,Insults / Ad Hominem Flame Replies,1.3333333333333333,2.066666666666667,-0.7333333333333336,80.0,0.006209512431520487,1.0,False,-1.0192589900947109,Large
Columnist/Political Culture Commentary (Coyne etc.),"Vaccines, Vaccination & Disease Risk",1.0555555555555556,1.3333333333333333,-0.2777777777777777,97.5,0.04533271652164265,1.0,False,-0.7477720636417615,Medium
